properties_doc_report.gender,properties_doc_report.document_type,properties_doc_report.date_of_expiry,properties_doc_report.issuing_country,properties_doc_report.nationality,properties_doc_report.issuing_date,properties_doc_report.issuing_state,properties_doc_report.document_version,created_at_doc_report,result_doc_report,conclusive_document_quality_result
Female,passport,2019-06-02,FRA,FRA,,,,2017-06-08 19:58:31,clear,
Female,passport,2021-11-15,PAK,PAK,,,,2017-06-09 01:46:48,clear,
,national_identity_card,,GRC,,,,,2017-06-09 11:01:45,clear,
Male,passport,2025-01-13,AUS,AUS,,,,2017-06-09 11:40:05,clear,
Male,national_identity_card,2026-07-20,POL,POL,,,,2017-06-09 17:26:06,clear,
,driving_licence,2019-03-23,IRL,,,,,2017-06-09 18:05:40,clear,
Female,driving_licence,2024-02-01,GBR,,,,,2017-06-10 08:01:06,clear,
Male,national_identity_card,2027-03-14,CHE,CHE,,,,2017-06-10 09:24:21,clear,
Male,national_identity_card,2017-10-17,BEL,BEL,,,,2017-06-10 10:11:01,clear,
Male,driving_licence,2018-11-25,GBR,,,,,2017-06-10 13:54:19,clear,
Female,national_identity_card,2024-09-22,GIB,GBR,,,,2017-06-10 18:03:06,clear,
Male,national_identity_card,,FRA,,2014-07,,,2017-06-10 20:37:49,clear,
Male,driving_licence,2020-03-16,GBR,,,,,2017-06-11 11:11:47,clear,
Male,driving_licence,2020-09-30,GBR,,,,,2017-06-11 17:36:26,clear,
Male,driving_licence,2021-05-12,GBR,,,,,2017-06-11 20:59:46,clear,
Male,national_identity_card,,FRA,,2008-06,,,2017-06-12 06:36:34,clear,
Female,passport,2024-05-14,IRL,IRL,,,,2017-06-12 17:11:50,clear,
,national_identity_card,,ITA,,,,,2017-06-12 18:30:46,clear,
,national_identity_card,2019-03-15,DEU,DEU,,,,2017-06-13 11:18:57,clear,
Female,driving_licence,2025-07-17,GBR,,,,,2017-06-13 11:35:08,clear,
Male,national_identity_card,2016-04-13,ESP,ESP,,,,2017-06-13 13:54:43,consider,
,driving_licence,2024-06-18,CZE,,,,,2017-06-14 08:41:18,clear,
Male,passport,2025-01-08,FRA,FRA,,,,2017-06-14 09:24:57,clear,
Female,national_identity_card,2025-09-11,GIB,GBR,,,,2017-06-14 11:33:37,clear,
,driving_licence,,CHE,,,,,2017-06-14 13:16:42,clear,
Male,passport,2026-03-17,GBR,GBR,,,,2017-06-14 13:18:41,clear,
Male,national_identity_card,2027-03-26,AUT,AUT,,,,2017-06-14 17:12:30,clear,
Male,national_identity_card,2025-04-03,BEL,BEL,,,,2017-06-14 17:14:30,consider,
Male,national_identity_card,2025-04-03,BEL,BEL,,,,2017-06-14 17:18:29,consider,
Female,passport,2024-06-26,GBR,GBR,,,,2017-06-14 17:52:52,clear,
Female,passport,2023-11-13,FRA,FRA,,,,2017-06-14 18:38:27,clear,
Female,passport,2026-03-15,ZAF,ZAF,,,,2017-06-14 20:28:52,clear,
Female,national_identity_card,,ZAF,,,,,2017-06-14 20:35:32,clear,
Male,national_identity_card,2019-04-28,ESP,ESP,,,,2017-06-14 20:35:56,clear,
,driving_licence,2017-08-23,SWE,,,,,2017-06-14 21:08:40,clear,
Male,passport,2024-08-05,FRA,FRA,,,,2017-06-14 21:56:11,clear,
,driving_licence,2023-07-30,IRL,,,,,2017-06-15 09:20:34,clear,
Male,passport,2018-01-09,DEU,DEU,,,,2017-06-15 11:00:37,clear,
Female,driving_licence,2019-06-12,GBR,,,,,2017-06-15 16:46:29,clear,
Female,passport,2023-10-03,ITA,ITA,,,,2017-06-15 17:30:45,clear,
Male,national_identity_card,2024-06-23,ESP,ESP,,,,2017-06-15 17:32:16,clear,
Male,passport,2018-11-10,GBR,GBR,,,,2017-06-15 18:02:53,clear,
Male,driving_licence,2020-03-23,USA,,,CA,,2017-06-15 18:29:08,clear,
Male,passport,2024-11-03,IRL,IRL,,,,2017-06-15 20:24:44,clear,
Male,passport,2022-01-24,PHL,PHL,,,,2017-06-15 22:11:18,clear,
Male,passport,2021-02-24,IRL,IRL,,,,2017-06-16 06:44:55,clear,
Male,national_identity_card,2020-12-09,BGR,BGR,,,,2017-06-16 10:39:21,clear,
Male,driving_licence,2018-01-10,GBR,,,,,2017-06-16 11:21:04,clear,
,driving_licence,2022-01-24,LTU,,,,,2017-06-16 20:00:26,clear,
Female,driving_licence,2023-07-04,GBR,,,,,2017-06-17 05:05:39,clear,
Male,national_identity_card,,FRA,,2011-05,,,2017-06-17 09:19:07,clear,
Male,passport,2023-11-27,FRA,FRA,,,,2017-06-17 09:39:47,clear,
Female,national_identity_card,2017-06-12,NLD,NLD,,,,2017-06-17 20:21:54,consider,
Female,national_identity_card,2020-08-20,ESP,,,,,2017-06-17 20:42:53,clear,
Male,passport,2026-04-30,GBR,GBR,,,,2017-06-18 07:20:28,clear,
Female,driving_licence,2025-03-05,GBR,,,,,2017-06-18 19:54:21,clear,
,national_identity_card,2026-01-03,DEU,DEU,,,,2017-06-18 20:05:05,clear,
Male,passport,2019-12-03,ITA,ITA,,,,2017-06-18 21:18:31,clear,
,driving_licence,2025-09-18,IRL,,,,,2017-06-18 22:17:29,clear,
Male,passport,2020-12-11,PHL,PHL,,,,2017-06-19 08:43:32,clear,
Female,driving_licence,2017-07-27,GBR,,,,,2017-06-19 10:02:48,clear,
Male,passport,2018-07-22,POL,POL,,,,2017-06-19 10:59:14,clear,
Male,driving_licence,2025-05-31,GBR,,,,,2017-06-19 11:25:33,clear,
,driving_licence,2027-02-23,LTU,,,,,2017-06-20 08:42:58,clear,
Male,passport,2020-04-26,GRC,GRC,,,,2017-06-20 11:07:37,clear,
Female,driving_licence,2022-01-17,GBR,,,,,2017-06-20 13:28:00,clear,
,driving_licence,2021-10-26,ITA,,,,,2017-06-20 17:50:43,clear,
Male,national_identity_card,2020-12-27,PRT,PRT,,,,2017-06-21 08:39:10,clear,
,driving_licence,2025-03-29,IRL,,,,,2017-06-21 09:56:06,clear,
Female,national_identity_card,,FRA,,2013-06,,,2017-06-21 10:37:10,clear,
Male,driving_licence,2021-04-26,GBR,,,,,2017-06-21 11:35:34,clear,
,driving_licence,2032-02-22,FRA,,,,,2017-06-21 11:37:59,clear,
Male,passport,2019-09-25,DNK,DNK,,,,2017-06-21 12:25:52,clear,
Female,driving_licence,2027-04-26,GBR,,,,,2017-06-21 13:06:07,clear,
,driving_licence,2025-11-27,DNK,,,,,2017-06-21 13:19:48,clear,
Male,national_identity_card,2025-02-20,POL,POL,,,,2017-06-21 16:30:50,clear,
Female,driving_licence,2025-03-17,GBR,,,,,2017-06-21 16:33:41,clear,
Female,national_identity_card,2024-05-08,LTU,,,,,2017-06-21 17:41:11,clear,
Female,driving_licence,2025-12-04,GBR,,,,,2017-06-21 17:42:38,clear,
Male,national_identity_card,,FRA,,2007-03,,,2017-06-21 18:55:24,clear,
Female,national_identity_card,2027-05-20,ESP,ESP,,,,2017-06-21 19:55:17,clear,
,driving_licence,2018-12-21,IRL,,,,,2017-06-21 20:57:17,clear,
Male,driving_licence,2027-05-15,GBR,,,,,2017-06-21 21:05:49,clear,
Male,national_identity_card,2021-04-11,PRT,PRT,,,,2017-06-21 21:34:25,clear,
Female,passport,2024-03-02,IRL,IRL,,,,2017-06-21 22:37:32,clear,
Female,passport,2023-03-25,RUS,RUS,,,,2017-06-21 23:46:57,clear,
Female,passport,2018-12-03,ESP,ESP,,,,2017-06-22 06:30:06,clear,
Male,passport,2021-09-02,GBR,GBR,,,,2017-06-22 07:54:01,clear,
,national_identity_card,2022-08-07,DEU,DEU,,,,2017-06-22 08:52:50,clear,
,driving_licence,,NOR,,,,,2017-06-22 09:24:11,clear,
Male,national_identity_card,2023-07-12,POL,POL,,,,2017-06-22 11:07:52,clear,
Male,national_identity_card,2023-07-12,POL,POL,,,,2017-06-22 11:07:52,clear,
Male,national_identity_card,2023-03-15,POL,POL,,,,2017-06-22 11:29:43,clear,
Male,national_identity_card,2018-04-15,PRT,PRT,,,,2017-06-22 16:48:49,clear,
Male,driving_licence,2019-02-18,GBR,,,,,2017-06-22 17:59:03,clear,
Female,national_identity_card,,FRA,,2013-06,,,2017-06-22 19:11:26,clear,
Female,driving_licence,2023-10-31,GBR,,,,,2017-06-23 08:22:31,clear,
,national_identity_card,,ITA,,,,,2017-06-23 08:45:19,clear,
Male,driving_licence,2019-06-20,GBR,,,,,2017-06-23 09:46:03,clear,
Male,driving_licence,2020-04-07,GBR,,,,,2017-06-23 11:40:27,clear,
Female,driving_licence,2027-03-15,GBR,,,,,2017-06-23 12:11:10,clear,
,national_identity_card,2020-11-29,DEU,DEU,,,,2017-06-23 13:25:26,clear,
,driving_licence,2025-06-04,JEY,,,,,2017-06-23 14:29:21,clear,
Male,driving_licence,2026-05-07,GBR,,,,,2017-06-23 16:04:48,clear,
Male,passport,2026-11-30,NLD,NLD,,,,2017-06-23 17:42:39,clear,
Male,national_identity_card,2019-10-22,ESP,ESP,,,,2017-06-23 18:48:23,clear,
Female,national_identity_card,2022-03-12,PRT,PRT,,,,2017-06-23 20:48:01,clear,
,driving_licence,2027-04-05,NLD,,,,,2017-06-23 21:02:44,clear,
,,,,,,,,2017-06-24 08:28:39,consider,
,driving_licence,,TUR,,,,20000,2017-06-24 08:38:13,clear,
Male,passport,2023-09-06,GBR,GBR,,,,2017-06-24 09:07:00,clear,
Female,passport,2027-05-10,FRA,FRA,,,,2017-06-24 09:55:04,clear,
Male,passport,2023-08-20,POL,POL,,,,2017-06-24 10:21:50,clear,
Male,driving_licence,2026-07-26,GBR,,,,,2017-06-24 10:49:09,clear,
Male,passport,2026-01-12,IND,IND,,,,2017-06-24 11:33:48,clear,
Male,national_identity_card,2022-03-24,ESP,ESP,,,,2017-06-24 11:38:56,clear,
Male,driving_licence,2023-12-10,GBR,,,,,2017-06-24 12:05:38,clear,
Male,national_identity_card,2018-07-10,POL,POL,,,,2017-06-24 12:15:29,clear,
,driving_licence,2029-10-30,FRA,,,,,2017-06-24 12:28:56,clear,
Male,passport,2019-02-08,GBR,GBR,,,,2017-06-24 12:29:54,clear,
Female,passport,2026-11-01,FRA,FRA,,,,2017-06-24 12:59:49,clear,
Male,passport,2026-06-26,FRA,FRA,,,,2017-06-24 14:04:09,clear,
,driving_licence,2025-01-17,ITA,,,,,2017-06-24 16:36:20,clear,
,driving_licence,2026-10-29,LTU,,,,,2017-06-24 16:54:47,clear,
Male,passport,2027-04-03,GBR,GBR,,,,2017-06-24 17:51:05,clear,
,driving_licence,2025-04-18,ITA,,,,,2017-06-24 17:52:53,clear,
Female,national_identity_card,2019-11-20,LTU,LTU,,,,2017-06-24 19:05:59,clear,
Female,national_identity_card,2018-03-02,ROU,ROU,,,,2017-06-24 19:33:33,clear,
Female,passport,2027-05-13,GBR,GBR,,,,2017-06-24 21:19:48,clear,
Female,passport,2021-12-27,TWN,TWN,,,,2017-06-24 22:33:53,clear,
Female,national_identity_card,2020-08-06,LVA,LVA,,,,2017-06-24 23:12:29,clear,
Male,passport,2024-02-13,LTU,LTU,,,,2017-06-25 09:24:19,clear,
Female,passport,2021-12-27,RUS,RUS,,,,2017-06-25 10:07:13,clear,
Male,passport,2027-06-03,GBR,GBR,,,,2017-06-25 13:18:12,clear,
Female,national_identity_card,,FRA,,2006-01,,,2017-06-25 14:59:15,clear,
Female,national_identity_card,2018-12-23,BGR,BGR,,,,2017-06-25 15:04:14,clear,
Male,driving_licence,2021-11-01,GBR,,,,,2017-06-25 16:17:14,clear,
Male,driving_licence,2026-01-11,GBR,,,,,2017-06-25 16:17:28,clear,
Female,driving_licence,2027-02-16,GBR,,,,,2017-06-25 17:57:27,clear,
Male,national_identity_card,,IND,,,,,2017-06-25 18:23:39,clear,
Male,passport,2019-07-18,GBR,GBR,,,,2017-06-26 06:58:43,clear,
Male,passport,2020-11-29,IRL,IRL,,,,2017-06-26 07:29:46,clear,
,national_identity_card,2019-04-23,DEU,DEU,,,,2017-06-26 09:02:53,clear,
Male,national_identity_card,,FRA,,2014-01,,,2017-06-26 10:56:10,clear,
Male,national_identity_card,2024-01-31,POL,POL,,,,2017-06-26 10:58:35,clear,
Male,national_identity_card,2026-08-08,SVN,,,,,2017-06-26 12:24:26,clear,
Female,national_identity_card,,FRA,,2012-02,,,2017-06-26 14:24:59,clear,
Male,driving_licence,2019-12-21,GBR,,,,,2017-06-26 14:45:39,clear,
Male,national_identity_card,2025-01-08,POL,POL,,,,2017-06-26 14:59:30,clear,
Male,passport,2021-05-09,ESP,ESP,,,,2017-06-26 15:51:15,clear,
Male,driving_licence,2025-08-20,GBR,,,,,2017-06-26 16:21:22,clear,
Male,passport,2025-09-22,FRA,FRA,,,,2017-06-26 16:47:00,clear,
Male,national_identity_card,2026-01-15,CHE,CHE,,,,2017-06-26 16:47:19,clear,
Male,national_identity_card,2024-07-01,ESP,ESP,,,,2017-06-26 18:09:33,clear,
Female,driving_licence,2023-05-01,GBR,,,,,2017-06-26 20:30:18,clear,
,driving_licence,2018-12-31,FRA,,2013-01-01,,,2017-06-26 20:34:46,consider,
,driving_licence,2030-01-19,AUT,,,,,2017-06-26 20:57:56,clear,
Male,national_identity_card,2019-10-19,CYP,,,,,2017-06-27 07:41:10,clear,
Male,passport,2017-07-25,POL,POL,,,,2017-06-27 08:58:09,clear,
Male,driving_licence,2026-01-06,GBR,,,,,2017-06-27 09:18:39,clear,
Male,driving_licence,2018-04-12,GBR,,,,,2017-06-27 11:02:46,clear,
Male,passport,2020-03-05,GBR,GBR,,,,2017-06-27 11:13:22,clear,
Male,national_identity_card,2025-11-13,BGR,BGR,,,,2017-06-27 12:37:39,clear,
Male,passport,2026-02-11,FRA,FRA,,,,2017-06-27 12:48:56,clear,
Male,passport,2017-11-22,ROU,ROU,,,,2017-06-27 13:21:29,clear,
Male,driving_licence,2019-11-13,GBR,,,,,2017-06-28 12:57:04,clear,
Male,national_identity_card,,FRA,,2017-03,,,2017-06-28 13:11:45,clear,
Female,national_identity_card,2023-12-05,ESP,ESP,,,,2017-06-28 13:33:51,clear,
Male,national_identity_card,2021-12-20,LTU,LTU,,,,2017-06-28 13:39:06,clear,
Male,driving_licence,2020-04-02,GBR,,,,,2017-06-28 13:55:55,clear,
Female,driving_licence,2026-04-18,GBR,,,,,2017-06-28 13:57:14,clear,
,national_identity_card,2027-01-15,DEU,DEU,,,,2017-06-28 14:22:08,clear,
Female,passport,2017-11-05,GBR,GBR,,,,2017-06-28 15:07:26,clear,
Male,national_identity_card,2024-01-29,LTU,LTU,,,,2017-06-28 15:38:38,clear,
Male,driving_licence,2020-02-03,GBR,,,,,2017-06-28 15:53:22,clear,
Female,national_identity_card,,FRA,,2015-01,,,2017-06-28 16:16:46,clear,
Male,passport,2025-07-21,GBR,GBR,,,,2017-06-28 16:26:57,clear,
Female,passport,2024-09-24,USA,USA,,,,2017-06-28 16:32:52,clear,
Male,passport,2025-06-23,GBR,GBR,,,,2017-06-28 17:17:15,clear,
Male,driving_licence,2020-02-13,GBR,,,,,2017-06-28 17:49:39,clear,
Female,passport,2027-05-04,IRL,IRL,,,,2017-06-28 20:54:20,clear,
Female,driving_licence,2020-10-15,GBR,,,,,2017-06-29 06:14:48,clear,
Female,national_identity_card,,FRA,,2009-12,,,2017-06-29 06:43:03,clear,
Male,passport,2020-05-28,GBR,GBR,,,,2017-06-29 07:15:23,clear,
Female,passport,2027-02-17,SVN,SVN,,,,2017-06-29 07:19:09,clear,
Male,driving_licence,2024-12-01,GBR,,,,,2017-06-29 07:46:54,clear,
Male,passport,2024-06-29,GBR,GBR,,,,2017-06-29 08:24:42,clear,
Female,passport,2024-08-13,IRL,IRL,,,,2017-06-29 08:38:58,clear,
Male,national_identity_card,2022-12-30,ROU,ROU,,,,2017-06-29 08:57:28,clear,
Female,passport,2021-07-22,GBR,GBR,,,,2017-06-29 12:15:48,clear,
Male,national_identity_card,2020-12-16,PRT,PRT,,,,2017-06-29 13:52:14,clear,
,driving_licence,2025-06-22,ESP,,,,,2017-06-29 13:54:42,clear,
Male,driving_licence,2019-10-08,GBR,,,,,2017-06-29 15:17:57,clear,
Male,passport,2025-01-20,USA,USA,,,,2017-06-29 16:07:40,clear,
Male,passport,2023-11-21,GBR,GBR,,,,2017-06-29 16:11:06,clear,
Female,national_identity_card,2025-07-09,GIB,GBR,,,,2017-06-29 16:48:18,clear,
,driving_licence,2018-01-03,NLD,,,,,2017-06-29 17:34:20,clear,
Male,national_identity_card,2020-07-22,LTU,LTU,,,,2017-06-29 17:51:32,clear,
,driving_licence,2023-04-17,LTU,,,,,2017-06-29 18:18:05,clear,
Female,passport,2026-11-03,BRA,BRA,,,,2017-06-29 18:27:49,clear,
Male,national_identity_card,,FRA,,2015-12,,,2017-06-29 19:35:40,clear,
Male,driving_licence,2027-03-31,GBR,,,,,2017-06-29 20:06:05,clear,
,national_identity_card,,GRC,,,,,2017-06-29 20:15:12,clear,
Female,national_identity_card,2017-09-06,ESP,ESP,,,,2017-06-29 22:53:27,clear,
Male,passport,2027-05-11,FRA,FRA,,,,2017-06-29 22:54:42,clear,
Female,driving_licence,2019-07-22,GBR,,,,,2017-06-29 23:43:26,clear,
Female,driving_licence,2020-12-30,GBR,,,,,2017-06-30 02:35:24,clear,
Female,passport,2024-01-20,AUS,AUS,,,,2017-06-30 05:25:55,clear,
Female,driving_licence,2019-03-25,GBR,,,,,2017-06-30 07:03:07,clear,
Male,passport,2025-12-14,DNK,DNK,,,,2017-06-30 08:59:04,clear,
,national_identity_card,2017-08-07,DEU,,,,,2017-06-30 09:01:40,clear,
Female,passport,2020-08-23,GBR,GBR,,,,2017-06-30 09:43:39,clear,
Male,national_identity_card,2019-08-07,LTU,LTU,,,,2017-06-30 10:23:46,clear,
Female,passport,2025-04-15,HND,HND,,,,2017-06-30 10:31:52,clear,
Female,passport,2023-06-10,GBR,GBR,,,,2017-06-30 11:38:59,clear,
Female,national_identity_card,2020-04-29,EST,EST,,,,2017-06-30 12:24:23,clear,
Male,national_identity_card,,FRA,,2015-05,,,2017-06-30 14:08:01,clear,
Female,national_identity_card,2022-01-25,SVN,SVN,,,,2017-06-30 14:08:53,clear,
Male,passport,2025-03-24,MLT,MLT,,,,2017-06-30 15:15:28,clear,
Male,national_identity_card,2025-06-09,POL,POL,,,,2017-06-30 16:15:29,clear,
Male,driving_licence,2022-05-25,GBR,,,,,2017-06-30 17:47:55,clear,
,driving_licence,2029-02-04,DEU,,,,,2017-06-30 19:42:41,clear,
Female,driving_licence,2023-12-06,GBR,,,,,2017-06-30 20:18:00,clear,
Female,national_identity_card,,FRA,,2008-09,,,2017-06-30 20:36:49,clear,
Male,driving_licence,2025-12-29,GBR,,,,,2017-06-30 20:49:13,clear,
